Game Infos,AmongUs ver.2025.3.25,ExtremeRoles ver.13.0.1.1,Exported on:2025/04/19 14:59:10
Name,OptionValue,CustomOptionName,SelectedIndex
強力なシャッフルを使用する,オン,RandomOptionUseStrong,1
使用する乱数生成アルゴリズム,PCG32-XSH-RR,RandomOptionAlgorithm,0
クルーのロール数　最少,11,RoleSpawnCategoryMinCrewmate,11
クルーのロール数　最大,11,RoleSpawnCategoryMaxCrewmate,11
第三陣営のロール数　最少,3,RoleSpawnCategoryMinNeutral,3
第三陣営のロール数　最大,3,RoleSpawnCategoryMaxNeutral,3
インポスターのロール数　最少,3,RoleSpawnCategoryMinImpostor,3
インポスターのロール数　最大,3,RoleSpawnCategoryMaxImpostor,3
クルーのゴーストロール数　最少,0,GhostRoleSpawnCategoryMinCrewmate,0
クルーのゴーストロール数　最大,0,GhostRoleSpawnCategoryMaxCrewmate,0
第三陣営のゴーストロール数　最少,1,GhostRoleSpawnCategoryMinNeutral,1
第三陣営のゴーストロール数　最大,1,GhostRoleSpawnCategoryMaxNeutral,1
インポスターのゴーストロール数　最少,0,GhostRoleSpawnCategoryMinImpostor,0
インポスターのゴーストロール数　最大,0,GhostRoleSpawnCategoryMaxImpostor,0
ホスト役職：「シオン」を使用する,オフ,XionUseXion,0
初期キルクールが10秒か,オフ,OnGameStartOptionIsKillCoolDownIsTen,0
誰かの会議ボタンを消費しておく,オフ,OnGameStartOptionRemoveSomeoneButton,0
消費数,1,OnGameStartOptionReduceNum,0
ゲーム開始から会議ボタンが押せない秒数,1秒,OnGameStartOptionFirstButtonCoolDown,1
「挙手する」ボタンを使用する,オン,MeetingOptionUseRaiseHand,1
合計緊急会議回数,10,MeetingOptionNumMeating,10
会議中のプレイヤーの並び順をバニラから変更する,オフ,MeetingOptionChangeMeetingVoteAreaSort,0
会議中のプレイヤーのレベルを固定化する,オフ,MeetingOptionFixedMeetingPlayerLevel,0
投票スキップ禁止,オフ,MeetingOptionDisableSkipInEmergencyMeeting,0
自殺投票禁止,オフ,MeetingOptionDisableSelfVote,0
追放を確認する陣営,インポスター,ExiledOptionConfirmExilMode,0
追放時、役職も確認するか,オフ,ExiledOptionIsConfirmRole,0
マップのベントを無効化する,オフ,VentOptionDisable,0
ベント内のプレイヤーをキルできるか,オン,VentOptionCanKillInPlayer,1
エンジニアのベント使用をインポスターと同じにする,オフ,VentOptionEngineerUseImpostor,0
ベントのアニメーションが再生される範囲,視界内のみ,VentOptionAnimationModeInVison,2
メッドベイのスキャンを同時使用できるか,オン,TaskOptionParallelMedBayScans,1
タスクの壁チェックの設定を上書きするか,オン,TaskOptionIsFixWallHaskTask,1
ゴミ箱タスク,オン,TaskOptionGarbageTask,1
シャワータスク,オン,TaskOptionShowerTask,1
現像タスク,オン,TaskOptionDevelopPhotosTask,1
電力転換タスク,オン,TaskOptionDivertPowerTask,1
スポーンの特殊設定を有効化する,オン,RandomSpawnOptionEnable,1
「スケルド」のランダムスポーン,オフ,RandomSpawnOptionSkeld,0
「ミラHQ」のランダムスポーン,オフ,RandomSpawnOptionMiraHq,0
「ポーラス」のランダムスポーン,オフ,RandomSpawnOptionPolus,0
